Id,Expected
0fca6a4248a41e8db8b4ed633b456aaa_0,
0fca6a4248a41e8db8b4ed633b456aaa_1,912016 35 913296 35 914576 35 915856 35 917131 45 918411 45 919691 45 920966 55 922246 55 923526 55 924806 55 926081 65 927361 65 928641 65 929921 65 931196 70 932476 70 933756 70 935031 75 936311 75 937591 75 938871 75 940146 80 941426 80 942706 80 943986 80 945266 80 946546 80 947826 80 949106 80 950381 85 951661 85 952941 85 954221 85 955501 85 956781 85 958061 85 959336 90 960616 90 961896 90 963176 90 964456 90 965736 90 967016 90 968296 90 969576 90 970856 90 972136 90 973411 90 974691 90 975971 90 977251 90 978531 90 979811 90 981091 90 982371 90 983646 95 984926 95 986206 95 987486 95 988766 95 990046 95 991326 95 992606 90 993886 90 995166 90 996446 90 997726 90 999006 90 1000286 90 1001566 90 1002846 90 1004126 90 1005406 90 1006686 90 1007966 85 1009246 85 1010526 85 1011811 80 1013091 80 1014371 80 1015651 80 1016936 70 1018216 70 1019496 70 1020776 70 1022056 65 1023336 65 1024616 65 1025896 65 1027181 55 1028461 55 1029741 55 1031031 40 1032311 40 1033591 40 1034871 40 1036161 20 1037441 20 1038721 20 1040001 20
05b78a91391adc0bb223c4eaf3372eae_0,915921 5 915931 5 915941 5 915961 5 917201 5 917211 5 917221 5 917241 5 918481 5 918491 5 918501 5 918521 5 919761 5 919771 5 919781 5 919801 5 921041 50 922321 50 923601 50 924881 50 926166 60 927446 60 928726 60 930006 60 931286 55 932566 55 933846 55 935126 55 936421 35 937701 35 938981 35 940261 35 941556 20 942836 20 944116 20 945401 5 946681 5 947961 5 949241 5
05b78a91391adc0bb223c4eaf3372eae_1,702226 15 703506 15 704786 15 706066 15 707336 35 708616 35 709896 35 711176 35 712446 45 713726 45 715006 45 716286 45 717561 55 718841 55 720121 55 721401 55 722671 65 723951 65 725231 65 726506 75 727786 75 729066 75 730346 75 731621 80 732901 80 734181 80 735461 80 736736 85 738016 85 739296 85 740576 85 741856 85 743136 85 744416 85 745696 85 746971 95 748251 95 749531 95 750811 95 752086 100 753366 100 754646 100 755926 100 757201 105 758481 105 759761 105 761041 105 762321 105 763601 105 764881 105 766161 105 767436 110 768716 110 769996 110 771276 110 772556 110 773836 110 775116 110 776391 115 777671 115 778951 115 780231 115 781511 115 782791 115 784071 115 785351 115 786631 115 787911 115 789191 115 790471 115 791746 115 793026 115 794306 115 795586 115 796866 115 798146 115 799426 115 800706 115 801986 110 803266 110 804546 110 805826 110 807106 105 808386 105 809666 105 810946 105 812221 110 813501 110 814781 110 816061 105 817341 105 818621 105 819901 105 821181 100 822461 100 823741 100 825021 100 826301 100 827581 100 828861 100 830141 100 831416 105 832696 105 833976 105 835256 105 836536 105 837816 105 839096 105 840376 105 841656 105 842936 105 844216 105 845496 105 846776 105 848056 105 849336 105 850616 105 851896 105 853176 105 854456 105 855736 105 857016 105 858296 105 859576 105 860856 105 862136 105 863416 105 864696 105 865981 100 867261 100 868541 100 869821 100 871101 100 872381 100 873661 100 874941 100 876226 95 877506 95 878786 95 880066 95 881346 90 882626 90 883906 90 885186 90 886466 90 887746 90 889026 90 890306 90 891591 85 892871 85 894151 85 895431 85 896716 75 897996 75 899276 75 900556 75 901836 75 903116 75 904396 75 905676 75 906956 75 908236 75 909516 75 910801 65 912081 65 913361 65 914641 65 915926 5 915936 5 915946 15 915966 20 917206 5 917216 5 917226 15 917246 20 918486 5 918496 5 918506 15 918526 20 919766 5 919776 5 919786 15 919806 20 921091 15 922371 15 923651 15 924931 15
633a8d5b2b2b55157b7781e2c706c75c_0,417901 40 419181 40 420461 40 421741 40 423011 60 424291 60 425571 60 426846 75 428126 75 429406 75 430686 75 431956 95 433236 95 434516 95 435796 95 437071 105 438351 105 439631 105 440911 105 442186 115 443466 115 444746 115 446021 120 447301 120 448581 120 449861 120 451141 125 452421 125 453701 125 454981 125 456256 135 457536 135 458816 135 460096 135 461376 140 462656 140 463936 140 465216 145 466496 145 467776 145 469056 145 470341 145 471621 145 472901 145 474181 145 475461 155 476741 155 478021 155 479301 155 480581 165 481861 165 483141 165 484426 165 485706 165 486986 165 488266 165 489546 170 490826 170 492106 170 493386 170 494671 170 495951 170 497231 170 498511 170 499791 175 501071 175 502351 175 503631 180 504911 180 506191 180 507471 180 508756 175 510036 175 511316 175 512596 175 513876 180 515156 180 516436 180 517716 180 518996 180 520276 180 521556 180 522841 180 524121 180 525401 180 526681 180 527961 180 529241 180 530521 180 531801 180 533081 180 534361 180 535641 180 536921 180 538206 180 539486 180 540766 180 542046 180 543326 180 544606 180 545886 180 547171 180 548451 180 549731 180 551011 180 552291 180 553571 180 554851 180 556131 180 557416 175 558696 175 559976 175 561256 175 562536 175 563816 175 565096 175 566376 175 567656 175 568936 175 570216 175 571496 175 572776 175 574056 175 575336 175 576621 170 577901 170 579181 170 580461 170 581741 170 583021 170 584301 170 585586 165 586866 165 588146 165 589426 165 590706 165 591986 165 593266 165 594546 165 595831 160 597111 160 598391 160 599676 155 600956 155 602236 155 603516 155 604806 140 606086 140 607366 140 608646 140 609931 130 611211 130 612491 130 613771 130 615061 120 616341 120 617621 120 618911 105 620191 105 621471 105 622751 105 624041 90 625321 90 626601 90 627881 90 629171 70 630451 70 631731 70 633021 60 634301 60 635581 60 636861 60 638161 5 638171 5 638181 10 639441 5 639451 5 639461 10 640721 5 640731 5 640741 10 642001 5 642011 5 642021 10
633a8d5b2b2b55157b7781e2c706c75c_1,
2cd066b9fdbc3bbc04a3afe1f119f21b_0,379621 30 380901 30 382181 30 383461 30 384731 50 386011 50 387291 50 388566 60 389846 60 391126 60 392406 60 393681 65 394961 65 396241 65 397521 65 398801 65 400081 65 401361 65 402641 65 403921 70 405201 70 406481 70 407756 75 409036 75 410316 75 411596 75 412876 80 414156 80 415436 80 416716 80 417996 80 419276 80 420556 80 421836 80 423116 80 424396 80 425676 80 426956 80 428236 80 429516 80 430796 80 432076 85 433356 85 434636 85 435916 85 437196 85 438476 85 439756 85 441036 85 442316 90 443596 90 444876 90 446156 90 447436 90 448716 90 449996 90 451276 95 452556 95 453836 95 455116 95 456396 100 457676 100 458956 100 460236 100 461516 100 462796 100 464076 100 465356 105 466636 105 467916 105 469196 105 470476 105 471756 105 473036 105 474316 105 475596 105 476876 105 478156 105 479436 105 480716 110 481996 110 483276 110 484556 110 485836 110 487116 110 488396 110 489681 105 490961 105 492241 105 493521 105 494801 105 496081 105 497361 105 498641 105 499926 100 501206 100 502486 100 503766 100 505046 100 506326 100 507606 100 508891 95 510171 95 511451 95 512731 95 514011 95 515291 95 516571 95 517851 95 519136 90 520416 90 521696 90 522981 85 524261 85 525541 85 526821 85 528106 75 529386 75 530666 75 531946 75 533231 70 534511 70 535791 70 537071 70 538356 60 539636 60 540916 60 542206 50 543486 50 544766 50 546046 50 547336 35 548616 35 549896 35 551176 35 552471 10 553751 10 555031 10 556311 10
2cd066b9fdbc3bbc04a3afe1f119f21b_1,
97e1c0e9082ea2c193ac8d551c149b60_0,388376 20 389656 20 390936 20 392216 20 393481 55 394761 55 396041 55 397321 55 398596 75 399876 75 401156 75 402436 75 403706 95 404986 95 406266 95 407546 95 408821 110 410101 110 411381 110 412661 110 413936 120 415216 120 416496 120 417766 135 419046 135 420326 135 421606 135 422881 145 424161 145 425441 145 426721 145 427996 150 429276 150 430556 150 431836 150 433111 160 434391 160 435671 160 436951 160 438226 165 439506 165 440786 165 442066 165 443341 170 444621 170 445901 170 447181 170 448461 175 449741 175 451021 175 452301 175 453576 180 454856 180 456136 180 457416 180 458696 180 459976 180 461256 180 462531 185 463811 185 465091 185 466371 185 467651 185 468931 185 470211 185 471491 185 472766 190 474046 190 475326 190 476606 190 477886 190 479166 190 480446 190 481726 190 483006 190 484286 190 485566 190 486846 190 488126 190 489406 190 490686 190 491966 190 493246 190 494526 190 495806 190 497086 190 498366 185 499646 185 500926 185 502206 185 503486 185 504766 185 506046 185 507331 180 508611 180 509891 180 511171 180 512451 180 513731 180 515011 180 516291 180 517571 175 518851 175 520131 175 521411 175 522696 170 523976 170 525256 170 526536 170 527816 165 529096 165 530376 165 531656 165 532941 160 534221 160 535501 160 536781 160 538061 155 539341 155 540621 155 541901 155 543186 150 544466 150 545746 150 547026 150 548311 140 549591 140 550871 140 552156 130 553436 130 554716 130 555996 130 557286 110 558566 110 559846 110 561126 110 562416 90 563696 90 564976 90 566256 90 567541 75 568821 75 570101 75 571381 75 572676 40 573956 40 575236 40 576516 40
97e1c0e9082ea2c193ac8d551c149b60_1,
7ad1cf2eb9d32a3dc907950289e976c7_0,
7ad1cf2eb9d32a3dc907950289e976c7_1,654611 40 655891 40 657171 40 658451 40 659721 60 661001 60 662281 60 663561 60 664836 75 666116 75 667396 75 668676 75 669951 90 671231 90 672511 90 673791 90 675066 100 676346 100 677626 100 678901 105 680181 105 681461 105 682741 105 684016 115 685296 115 686576 115 687856 115 689131 120 690411 120 691691 120 692971 120 694251 120 695531 120 696811 120 698091 120 699366 130 700646 130 701926 130 703206 130 704481 135 705761 135 707041 135 708321 140 709601 140 710881 140 712161 140 713436 145 714716 145 715996 145 717276 145 718556 145 719836 145 721116 145 722396 145 723671 150 724951 150 726231 150 727511 150 728786 160 730066 160 731346 160 732626 160 733906 160 735186 160 736466 160 737741 165 739021 165 740301 165 741581 165 742861 165 744141 165 745421 165 746701 165 747981 165 749261 165 750541 165 751821 165 753101 165 754381 165 755661 165 756941 165 758216 170 759496 170 760776 170 762056 170 763336 170 764616 170 765896 170 767176 170 768456 170 769736 170 771016 170 772296 170 773576 170 774856 170 776136 170 777416 170 778696 170 779976 170 781256 170 782536 170 783816 170 785096 170 786376 165 787656 165 788936 165 790216 165 791496 165 792776 165 794056 165 795336 165 796621 160 797901 160 799181 160 800461 160 801741 155 803021 155 804301 155 805581 155 806866 145 808146 145 809426 145 810706 145 811991 140 813271 140 814551 140 815836 130 817116 130 818396 130 819676 130 820961 125 822241 125 823521 125 824801 125 826086 115 827366 115 828646 115 829926 115 831216 100 832496 100 833776 100 835056 100 836356 70 837636 70 838916 70 840201 55 841481 55 842761 55 844041 55 845331 35 846611 35 847891 35 849171 35
a6e51d077bad31c8c5f54ffaa27a6235_0,
